count;dtCon
1;7
2;3
3;3
4;3
5;3
6;4
7;4
8;4
9;3
10;3
11;3
12;3
13;4
14;4
15;3
16;3
17;3
18;3
19;3
20;4
21;4
22;3
23;3
24;3
25;3
26;3
27;4
28;4
29;3
30;3
31;3
32;3
33;3
34;3
35;3
36;3
37;4
38;4
39;3
40;3
41;3
42;3
43;3
44;4
45;3
46;3
47;3
48;3
49;3
50;4
51;4
52;3
53;3
54;3
55;3
56;4
57;4
58;3
59;3
60;3
61;3
62;4
63;4
64;4
65;3
66;4
67;3
68;3
69;3
70;3
71;3
72;4
73;3
74;3
75;3
76;3
77;3
78;4
79;4
80;3
81;3
82;3
83;3
84;4
85;4
86;3
87;3
88;3
89;3
90;4
91;4
92;4
93;3
94;3
95;3
96;4
97;4
98;4
99;3
100;3
101;3
102;3
103;4
104;4
105;3
106;3
107;3
108;3
109;4
110;4
111;3
112;3
113;3
114;3
115;3
116;4
117;4
118;3
119;3
120;3
121;3
122;4
123;4
124;3
125;3
126;3
127;3
128;4
129;4
130;3
131;3
132;3
133;3
134;3
135;4
136;4
137;3
138;3
139;3
140;3
141;4
142;4
143;3
144;3
145;3
146;3
147;4
148;4
149;3
150;3
151;3
152;3
153;4
154;4
155;4
156;3
157;3
158;3
159;3
160;4
161;4
162;3
163;3
164;3
165;3
166;4
167;4
168;3
169;3
170;3
171;3
172;4
173;4
174;4
175;3
176;3
177;3
178;3
179;4
180;4
181;3
182;3
183;3
184;3
185;4
186;4
187;3
188;3
189;3
190;3
191;4
192;4
193;3
194;3
195;3
196;3
197;3
198;4
199;4
200;3
201;3
202;3
203;3
204;4
205;4
206;3
207;3
208;3
209;3
210;4
211;4
212;3
213;3
214;3
215;3
216;4
217;4
218;4
219;3
220;3
221;3
222;3
223;4
224;4
225;3
226;3
227;3
228;3
229;4
230;4
231;3
232;3
233;3
234;3
235;4
236;4
237;3
238;3
239;3
240;3
241;3
242;4
243;4
244;3
245;3
246;3
247;3
248;4
249;4
250;3
251;3
252;3
253;3
254;4
255;4
256;4
257;3
258;4
259;4
260;3
261;3
262;3
263;3
264;4
265;4
266;3
267;3
268;3
269;3
270;4
271;4
272;3
273;3
274;3
275;3
276;3
277;4
278;4
279;3
280;3
281;3
282;3
283;4
284;4
285;3
286;3
287;3
288;3
289;4
290;4
291;3
292;3
293;3
294;3
295;4
296;4
297;4
298;3
299;3
300;3
301;3
302;4
303;4
304;3
305;3
306;3
307;3
308;4
309;4
310;3
311;3
312;3
313;3
314;4
315;4
316;3
317;3
318;3
319;3
320;3
321;4
322;4
323;3
324;3
325;3
326;3
327;4
328;4
329;3
330;3
331;3
332;3
333;4
334;4
335;3
336;3
337;3
338;3
339;4
340;4
341;4
342;3
343;3
344;3
345;3
346;4
347;4
348;3
349;3
350;3
351;3
352;4
353;4
354;3
355;3
356;3
357;3
358;4
359;4
360;3
361;3
362;3
363;3
364;3
365;4
366;4
367;3
368;3
369;3
370;3
371;4
372;4
373;3
374;3
375;3
376;3
377;4
378;4
379;3
380;3
381;3
382;3
383;4
384;4
385;4
386;3
387;3
388;3
389;3
390;4
391;4
392;3
393;3
394;3
395;3
396;4
397;4
398;3
399;3
400;3
401;3
402;4
403;4
404;4
405;3
406;3
407;3
408;3
409;4
410;4
411;3
412;3
413;3
414;3
415;4
416;4
417;3
418;3
419;3
420;3
421;4
422;4
423;4
424;3
425;3
426;3
427;3
428;4
429;4
430;3
431;3
432;3
433;3
434;4
435;4
436;3
437;3
438;3
439;3
440;4
441;4
442;3
443;3
444;3
445;3
446;3
447;4
448;4
449;3
450;3
451;3
452;3
453;4
454;4
455;3
456;3
457;3
458;3
459;4
460;4
461;3
462;3
463;3
464;3
465;4
466;4
467;4
468;3
469;3
470;3
471;3
472;4
473;4
474;3
475;3
476;3
477;3
478;4
479;4
480;4
481;3
482;3
483;3
484;3
485;4
486;4
487;4
488;3
489;3
490;3
491;3
492;4
493;4
494;3
495;3
496;3
497;3
498;3
499;4
500;4
501;3
502;3
503;3
504;3
505;4
506;4
507;3
508;3
509;3
510;3
511;4
512;4
513;3
514;4
515;4
516;4
517;3
518;3
519;3
520;3
521;4
522;4
523;3
524;3
525;3
526;3
527;4
528;4
529;4
530;3
531;3
532;3
533;3
534;4
535;4
536;3
537;3
538;3
539;3
540;4
541;4
542;3
543;3
544;3
545;3
546;4
547;4
548;3
549;3
550;3
551;3
552;3
553;4
554;4
555;3
556;3
557;3
558;3
559;4
560;4
561;3
562;3
563;3
564;3
565;4
566;4
567;3
568;3
569;3
570;3
571;4
572;4
573;4
574;3
575;3
576;3
577;3
578;4
579;4
580;3
581;3
582;3
583;3
584;4
585;4
586;3
587;3
588;3
589;3
590;4
591;4
592;3
593;3
594;3
595;3
596;3
597;4
598;4
599;3
600;3
601;3
602;3
603;4
604;4
605;3
606;3
607;3
608;3
609;4
610;4
611;4
612;3
613;3
614;3
615;4
616;4
617;4
618;3
619;3
620;3
621;3
622;4
623;4
624;3
625;3
626;3
627;3
628;4
629;4
630;3
631;3
632;3
633;3
634;3
635;4
636;3
637;3
638;3
639;3
640;3
641;4
642;4
643;3
644;3
645;3
646;3
647;4
648;4
649;3
650;3
651;3
652;3
653;4
654;4
655;4
656;3
657;3
658;3
659;4
660;4
661;4
662;3
663;3
664;3
665;3
666;4
667;4
668;3
669;3
670;3
671;3
672;4
673;4
674;3
675;3
676;3
677;3
678;3
679;4
680;4
681;3
682;3
683;3
684;3
685;4
686;4
687;3
688;3
689;3
690;3
691;4
692;4
693;3
694;3
695;3
696;3
697;4
698;4
699;4
700;3
701;3
702;3
703;3
704;4
705;4
706;3
707;3
708;3
709;3
710;4
711;4
712;3
713;3
714;3
715;3
716;4
717;4
718;3
719;3
720;3
721;3
722;3
723;4
724;4
725;3
726;3
727;3
728;3
729;4
730;4
731;3
732;3
733;3
734;3
735;4
736;4
737;3
738;3
739;3
740;3
741;4
742;4
743;4
744;3
745;3
746;3
747;3
748;4
749;4
750;3
751;3
752;3
753;3
754;4
755;4
756;3
757;3
758;3
759;3
760;4
761;4
762;4
763;3
764;3
765;3
766;3
767;4
768;4
769;3
770;3
771;3
772;3
773;4
774;4
775;3
776;3
777;3
778;3
779;4
780;4
781;3
782;3
783;3
784;3
785;3
786;4
787;4
788;3
789;3
790;3
791;3
792;4
793;4
794;3
795;3
796;3
797;3
798;4
799;4
800;3
801;3
802;3
