count;dtCon
1;2984
2;2278
3;2259
4;2234
5;2302
6;2261
7;2214
8;2223
9;2308
10;2244
11;2269
12;2246
13;2236
14;2344
15;2190
16;2212
17;2259
18;2329
19;2241
20;2253
21;2230
22;2286
23;2199
24;2226
25;2254
26;2222
27;2304
28;2255
29;2213
30;2179
31;2251
32;2219
33;2242
34;2231
35;2223
36;2342
37;2191
38;2192
39;2254
40;2278
41;2250
42;2258
43;2240
44;2245
45;2290
46;2233
47;2276
48;2243
49;2302
50;2269
51;2244
52;2197
53;2214
54;2287
55;2257
56;2243
57;2229
58;2304
59;2210
60;2179
61;2247
62;2252
63;2244
64;2241
65;2217
66;2237
67;2231
68;2197
69;2253
70;2229
71;2269
72;2258
73;2231
74;2208
75;2201
76;2274
77;2263
78;2250
79;2243
80;2307
81;2242
82;2196
83;2249
84;2243
85;2290
86;2312
87;2250
88;2256
89;2246
90;2191
91;2267
92;2243
93;2233
94;2297
95;2227
96;2215
97;2198
98;2275
99;2227
100;2244
101;225860
