count;raspberry;gem5 sim
1;31429;52865
2;26194;33440
3;25899;33390
4;26058;33476
5;26085;33406
6;25943;33423
7;26038;33461
8;26018;33422
9;25939;33404
10;26037;33441
11;26005;33417
12;25975;33444
13;26156;33413
14;25918;33428
15;26197;33504
16;26061;33426
17;26253;33469
18;26149;33474
19;26115;33429
20;26274;33422
21;26309;33470
22;25948;33427
23;26026;33430
24;25991;33464
25;25961;33438
26;26035;33478
27;26089;33418
28;25876;33418
29;26142;33469
30;26713;33432
31;26462;33431
32;25979;33446
33;26184;33408
34;26330;33422
35;25982;33510
36;26083;33429
37;26039;33476
38;26346;33440
39;26367;33427
40;26099;33474
41;26439;33395
42;26148;33425
43;25999;33476
44;26045;33418
45;26051;33477
46;26003;33470
47;26241;33428
48;25967;33475
49;26014;33420
50;26052;33438
