count;dtCon
1;257
2;133
3;127
4;126
5;126
6;126
7;126
8;126
9;126
10;126
11;125
12;126
13;125
14;126
15;125
16;126
17;125
18;126
19;125
20;126
21;125
22;126
23;126
24;125
25;125
26;125
27;171
28;129
29;126
30;126
31;126
32;126
33;126
34;126
35;125
36;126
37;126
38;125
39;125
40;126
41;125
42;126
43;126
44;126
45;125
46;126
47;125
48;126
49;125
50;126
51;125
52;126
53;125
54;126
55;125
56;126
57;125
58;126
59;125
60;125
61;125
62;126
63;125
64;126
65;126
66;126
67;126
68;126
69;125
70;126
71;126
72;126
73;125
74;126
75;126
76;126
77;125
78;125
79;125
80;125
81;125
82;126
83;126
84;125
85;125
86;126
87;125
88;125
89;126
90;126
91;126
92;125
93;126
94;125
95;126
96;125
97;125
98;126
99;126
100;125
101;12883
