count;dtCon;15108;15108
1;3289;0;0;18418
2;2320;0;0;20769
3;2467;0;0;23262
4;2461;0;0;25748
5;2352;0;0;28128
6;2457;0;0;30616
7;2447;0;0;33088
8;12330;1;0;36320
9;2453;0;0;38305
10;2441;0;0;40280
11;2282;0;0;42124
12;2369;0;0;42124
13;2434;0;0;42124
14;2295;0;0;42124
15;2403;0;0;42124
16;2437;0;0;42713
17;12337;1;0;55080
18;2460;0;0;57569
19;2429;0;0;60026
20;2346;0;0;62400
21;12538;1;0;74818
22;2436;0;0;77280
23;2333;0;0;79641
24;2435;0;0;82106
25;12503;1;0;94634
26;2344;0;0;97006
27;2395;0;0;99431
28;2469;0;0;101926
29;12463;1;0;114419
30;2328;0;0;116778
31;2419;0;0;119225
32;2386;0;0;121637
33;12463;1;0;134132
34;2311;0;0;136477
35;2438;0;0;138941
36;2404;0;0;141370
37;12422;1;0;153785
38;2436;0;0;156248
39;2382;0;0;158658
40;2331;0;0;161020
41;12585;1;0;173629
42;2364;0;0;176020
43;2339;0;0;178386
44;2471;0;0;180883
45;12430;1;0;193333
46;2341;0;0;195699
47;2461;0;0;198188
48;2396;0;0;200610
49;12293;1;0;212921
50;2495;0;0;215439
51;2422;0;0;217892
52;2344;0;0;220260
53;2386;0;0;222673
54;12524;1;0;235224
55;2367;0;0;237617
56;2278;0;0;239925
57;2490;0;0;242441
58;12467;1;0;254935
59;2308;0;0;257266
60;2357;0;0;259656
61;2479;0;0;262161
62;12495;1;0;274684
63;2344;0;0;277054
64;2377;0;0;279458
65;2475;0;0;281963
66;12517;1;0;294505
67;2335;0;0;296870
68;2424;0;0;299326
69;2485;0;0;301837
70;12482;1;0;314349
71;2356;0;0;316735
72;2437;0;0;319200
73;2405;0;0;321630
74;12467;1;0;334121
75;2303;0;0;336455
76;2431;0;0;338911
77;2384;0;0;341322
78;12401;1;0;353722
79;2422;0;0;356168
80;2351;0;0;358544
81;2341;0;0;360912
82;12560;1;0;373495
83;2363;0;0;375882
84;2357;0;0;378266
85;2487;0;0;380781
86;12440;1;0;393239
87;2363;0;0;395629
88;19558;1;0;415062
89;2394;0;0;417487
90;2301;0;0;419816
91;2433;0;0;422275
92;2499;0;0;424799
93;2357;0;0;427185
94;2345;0;0;429565
95;2472;0;0;432064
96;12397;1;0;444489
97;2366;0;0;446888
98;2480;0;0;449393
99;2364;0;0;451783
100;12467;1;0;464278
