count;dtCon
1;6805
2;5474
3;5361
4;5469
5;5349
6;5414
7;5460
8;5693
9;5444
10;5467
11;5429
12;5566
13;5418
14;5803
15;5382
16;5476
17;5490
18;5704
19;5452
20;5427
21;5347
22;5449
23;5478
24;5384
25;5688
26;5469
27;5496
28;5437
29;5420
30;5416
31;5430
32;5419
33;5383
34;5500
35;5382
36;5424
37;5334
38;5500
39;5388
40;5471
41;5420
42;5400
43;5453
44;5444
45;5386
46;5403
47;5485
48;5282
49;5476
50;5367
51;5535
52;5495
53;5468
54;5274
55;5561
56;5491
57;5465
58;5418
59;5462
60;5391
61;5528
62;5470
63;5313
64;5487
65;5338
66;5518
67;5307
68;5488
69;5338
70;5442
71;5425
72;5495
73;5460
74;5390
75;5464
76;5331
77;5528
78;5312
79;5474
80;5342
81;5514
82;5284
83;5452
84;5382
85;5378
86;5429
87;5465
88;5411
89;5375
90;5495
91;5335
92;5474
93;5386
94;5418
95;5358
96;5497
97;5251
98;5515
99;5316
100;5483
101;545898
