count;dtCon
1;6389
2;5069
3;5116
4;5076
5;5140
6;5006
7;5129
8;5061
9;5026
10;5046
11;5111
12;4994
13;5100
14;5083
15;5092
16;5069
17;5173
18;5100
19;5058
20;5093
21;5171
22;4991
23;5099
24;5054
25;5067
26;5023
27;5086
28;5044
29;5028
30;5077
31;5101
32;5005
33;5131
34;5093
35;5082
36;5070
37;5094
38;5040
39;5046
40;5054
41;5077
42;4961
43;5084
44;5051
45;5011
46;5065
47;5113
48;5051
49;5077
50;5149
51;5067
52;5053
53;5073
54;5096
55;4991
56;5088
57;5080
58;5021
59;5025
60;5068
61;5052
62;5034
63;5086
64;5106
65;5048
66;5114
67;5087
68;5046
69;5067
70;5095
71;5023
72;5067
73;5077
74;5051
75;4987
76;5072
77;5064
78;5003
79;5082
80;5112
81;5037
82;5097
83;5071
84;5100
85;5020
86;5106
87;5093
88;5014
89;5047
90;5062
91;4992
92;5069
93;5068
94;5064
95;5047
96;5109
97;5099
98;5056
99;5110
100;5123
101;5026
102;5121
103;5070
104;5053
105;5027
106;5090
107;5035
108;5020
109;5040
110;5079
111;5018
112;5118
113;5093
114;5059
115;5075
116;5117
117;5064
118;5071
119;5090
120;5063
121;5005
122;5059
123;5077
124;4979
125;5095
126;5060
127;5081
128;5043
129;5122
130;5089
131;5058
132;5084
133;5109
134;4984
135;5061
136;5070
137;5026
138;5067
139;5084
140;5018
141;5034
142;5051
143;5106
144;4995
145;5118
146;5081
147;5056
148;5093
149;5105
150;5035
151;5090
152;5051
153;5132
154;4990
155;5092
156;5037
157;5005
158;5041
159;5094
160;5023
161;5094
162;5100
163;5100
164;5054
165;5108
166;5084
167;5024
168;5067
169;5088
170;5001
171;5105
172;5038
173;5048
174;5024
175;5101
176;5068
177;5050
178;5098
179;5124
180;5040
181;5107
182;5081
183;5044
184;5048
185;5085
186;5028
187;5039
188;5045
189;5080
190;4973
191;5091
192;5095
193;5020
194;5146
195;5100
196;5081
197;5060
198;5103
199;5064
200;5018
201;5052
202;5078
203;4971
204;5097
205;5049
206;5040
207;5019
208;5104
209;5088
210;5076
211;5091
212;5130
213;5010
214;5095
215;5076
216;5049
217;5069
218;5080
219;5001
220;5049
221;5066
222;5087
223;4983
224;5121
225;5081
226;5050
227;5092
228;5114
229;5032
230;5088
231;5078
232;5109
233;5008
234;5090
235;5049
236;4999
237;5041
238;5086
239;5017
240;5078
241;5081
242;5079
243;5063
244;5118
245;5100
246;5039
247;5108
248;5086
249;4983
250;5077
251;5054
252;5039
253;5020
254;5093
255;5072
256;5084
257;5095
258;5141
259;5015
260;5115
261;5115
262;5019
263;5127
264;5067
265;5059
266;5023
267;5081
268;5060
269;5019
270;5059
271;5081
272;4993
273;5095
274;5102
275;5105
276;5066
277;5130
278;5074
279;5051
280;5079
281;5081
282;4983
283;5084
284;5088
285;5048
286;5042
287;5093
288;5045
289;5098
290;5079
291;5137
292;5012
293;5127
294;5076
295;5062
296;5085
297;5108
298;5024
299;5058
300;5058
301;5078
302;4986
303;5094
304;5060
305;5027
306;5081
307;5152
308;5059
309;5119
310;5112
311;5082
312;5038
313;5124
314;5067
315;5032
316;5047
317;5085
318;4970
319;5093
320;5051
321;5071
322;5056
323;5139
324;5137
325;5039
326;5107
327;5079
328;5012
329;5060
330;5095
331;5005
332;5055
333;5062
334;5043
335;5042
336;5082
337;5109
338;5021
339;5091
340;5124
341;5022
342;5132
343;5070
344;5087
345;5033
346;5115
347;5038
348;5059
349;5059
350;5067
351;4977
352;5093
353;5088
354;5047
355;5054
356;5133
357;5094
358;5090
359;5083
360;5110
361;4993
362;5089
363;5067
364;5017
365;5050
366;5063
367;5021
368;5068
369;5081
370;5121
371;5018
372;5147
373;5091
374;5071
375;5080
376;5121
377;5015
378;5074
379;5072
380;5071
381;5011
382;5081
383;5046
384;5006
385;5077
386;5107
387;5021
388;5130
389;5087
390;5106
391;5039
392;5105
393;5098
394;5002
395;5090
396;5054
397;4996
398;5056
399;5081
400;5013
401;5072
402;5086
403;5099
404;5050
405;5129
406;5097
407;5033
408;5076
409;5127
410;5020
411;5091
412;5055
413;5060
414;5029
415;5096
416;5065
417;5025
418;5074
419;5107
420;5025
421;5126
422;5104
423;5065
424;5056
425;5134
426;5040
427;5045
428;5057
429;5091
430;4967
431;5076
432;5061
433;5022
434;5077
435;5118
436;5083
437;5122
438;5080
439;5114
440;5007
441;5109
442;5089
443;5026
444;5060
445;5116
446;5027
447;5068
448;5067
449;5084
450;5015
451;5107
452;5099
453;5071
454;5101
455;5138
456;5007
457;5104
458;5118
459;5035
460;5068
461;5060
462;5064
463;4987
464;5097
465;5064
466;5021
467;5089
468;5122
469;5054
470;5110
471;5083
472;5091
473;5018
474;5090
475;5052
476;5004
477;5046
478;5081
479;4984
480;5073
481;5048
482;5078
483;5043
484;5121
485;5103
486;5035
487;5110
488;5102
489;5014
490;5097
491;5062
492;5076
493;5027
494;5080
495;5019
496;5031
497;5066
498;5093
499;5002
500;5117
501;5103
502;5059
503;5088
504;5118
505;5051
506;5057
507;5053
508;5095
509;5005
510;5089
511;5074
512;5024
513;5087
514;5107
515;5054
516;5088
517;5086
518;5094
519;5068
520;5122
521;5083
522;5006
523;5082
524;5100
525;4992
526;5068
527;5069
528;5022
529;5070
530;5065
531;5094
532;5014
533;5126
534;5085
535;5052
536;5098
537;5095
538;5032
539;5099
540;5077
541;5066
542;5010
543;5081
544;5080
545;5003
546;5063
547;5114
548;5036
549;5129
550;5099
551;5092
552;5053
553;5096
554;5105
555;5020
556;5051
557;5103
558;4979
559;5086
560;5046
561;5040
562;5019
563;5135
564;5084
565;5068
566;5101
567;5131
568;5017
569;5105
570;5077
571;5034
572;5066
573;5104
574;5012
575;5045
576;5042
577;5090
578;4982
579;5114
580;5094
581;5055
582;5105
583;5113
584;5072
585;5089
586;5064
587;5095
588;5006
589;5098
590;5045
591;5006
592;5041
593;5089
594;5030
595;5045
596;5107
597;5090
598;5086
599;5078
600;5121
601;5013
602;5105
603;5078
604;5050
605;5067
606;5083
607;5046
608;5042
609;5066
610;5083
611;5007
612;5116
613;5093
614;5046
615;5086
616;5167
617;5024
618;5107
619;5059
620;5096
621;5031
622;5085
623;5062
624;5002
625;5057
626;5104
