count;dtCon
1;276
2;140
3;147
4;143
5;139
6;149
7;127
8;127
9;127
10;127
11;126
12;126
13;126
14;126
15;126
16;126
17;126
18;126
19;138
20;203
21;139
22;148
23;130
24;156
25;127
26;154
27;133
28;146
29;139
30;139
31;148
32;127
33;126
34;127
35;126
36;126
37;126
38;126
39;126
40;126
41;126
42;126
43;126
44;135
45;154
46;126
47;159
48;127
49;151
50;135
51;144
52;143
53;135
54;153
55;126
56;159
57;127
58;126
59;126
60;126
61;126
62;126
63;126
64;126
65;126
66;126
67;126
68;126
69;126
70;159
71;127
72;146
73;140
74;139
75;149
76;130
77;156
78;127
79;154
80;132
81;147
82;139
83;126
84;126
85;126
86;126
87;126
88;126
89;126
90;126
91;126
92;126
93;140
94;126
95;147
96;137
97;139
98;148
99;131
100;155
101;14204
