count;dtCon
1;953
2;650
3;582
4;560
5;562
6;570
7;574
8;572
9;648
10;601
11;580
12;578
13;571
14;566
15;565
16;570
17;571
18;574
19;576
20;570
21;574
22;577
23;578
24;571
25;573
26;605
27;578
28;572
29;571
30;572
31;573
32;572
33;567
34;561
35;557
36;553
37;559
38;562
39;565
40;563
41;568
42;570
43;592
44;587
45;578
46;583
47;584
48;584
49;586
50;576
51;563
52;571
53;585
54;584
55;581
56;575
57;561
58;559
59;577
60;585
61;626
62;588
63;575
64;577
65;560
66;561
67;579
68;583
69;585
70;583
71;563
72;559
73;569
74;578
75;581
76;581
77;569
78;602
79;604
80;584
81;585
82;582
83;567
84;562
85;575
86;583
87;581
88;577
89;570
90;556
91;562
92;576
93;579
94;582
95;659
96;591
97;569
98;583
99;588
100;582
101;58383
